"database","sumFormula","adduct","ion","mz","msmScore","rhoSpatial","rhoSpectral","rhoChaos","fdrLevel","off_sample_label","off_sample_prob"
"ChEBI","C6H8O5","+Cl","C6H8O5+Cl-",195.006574653,0.011000351,0.0124697047815478,0.891209736828347,0.989852413568167,0.5,"on",0.0037745509762316
"ChEBI","C9H16O5","-H","C9H16O5-H-",203.092497177,0.011000283,0.011675678998315,0.971513276834207,0.96977944021669,0.5,"off",0.99998676776886
"ChEBI","C24H23ClO2","-H","C24H23ClO2-H-",377.131381241,0.010963514,0.0135513489517911,0.828742864005217,0.976219466366028,0.5,"off",0.99999988079071
"ChEBI","C5H11NO4S","-H","C5H11NO4S-H-",180.033602567,0.010945759,0.0113620589707639,0.972814812305971,0.990281521413597,0.5,"off",0.999998927116394
"ChEBI","C14H17N2O4","-H","C14H17N2O4-H-",276.111555589,0.010917865,0.0114805686412762,0.956450999823959,0.994286573447602,0.5,"on",0.013088721781969
"ChEBI","C18H19N3O5S","-H","C18H19N3O5S-H-",388.097265443,0.010892266,0.0125699814956424,0.882512048963436,0.981890320126094,0.5,"off",0.999870777130127
"ChEBI","C4H4N2O2","-H","C4H4N2O2-H-",111.020000933,0.010889776,0.0174754487838964,0.628331660490622,0.991748800629791,0.5,"on",0.150553286075592
"ChEBI","C21H26O6","-H","C21H26O6-H-",373.165662117,0.010883145,0.0120021268250653,0.931065286792793,0.973903782211139,0.5,"off",0.999965786933899
"ChEBI","C10H18O8","+Cl","C10H18O8+Cl-",301.069568833,0.010854208,0.0119747901787332,0.907408819698797,0.99891196834817,0.5,"off",0.996180295944214
"ChEBI","C6H14S2","+Cl","C6H14S2+Cl-",185.023094085,0.010839954,0.0125296265692229,0.873149337353983,0.990833707115666,0.5,"off",0.999927163124084
"ChEBI","C19H38O4","+Cl","C19H38O4+Cl-",365.246410993,0.010797949,0.0128501581887993,0.847237552574902,0.99180790960452,0.5,"on",0.420096665620804
"ChEBI","C22H17ClN2","-H","C22H17ClN2-H-",343.100749809,0.01078137,0.0129146031458248,0.839133067478751,0.994860166288738,0.5,"off",0.999996542930603
"ChEBI","C11H17N3O8","-H","C11H17N3O8-H-",318.094288069,0.01064946,0.0112491293663755,0.962284269685201,0.983796590989462,0.5,"off",0.999999523162842
"ChEBI","C17H11NO4","-H","C17H11NO4-H-",292.061531397,0.010634315,0.0110740390894873,0.962365500648735,0.997845804988662,0.5,"off",0.998178482055664
"ChEBI","C13H8O2","-H","C13H8O2-H-",195.045153061,0.0105372295,0.0112364626049831,0.960291684264273,0.976548160994292,0.5,"off",0.999999761581421
"ChEBI","C14H11NO","-H","C14H11NO-H-",208.076787537,0.010526812,0.0112822459961494,0.956317706862607,0.975661308156843,0.5,"off",0.99999988079071
"ChEBI","C18H26F6O3","+Cl","C18H26F6O3+Cl-",439.148014949,0.0105200745,0.0125012564469891,0.850939072609147,0.988932611903591,0.5,"off",0.99999988079071
"ChEBI","C16H16N6O","-H","C16H16N6O-H-",307.131282697,0.010506941,0.0112057234074621,0.948610933038088,0.98843537414966,0.5,"off",0.999968767166138
"ChEBI","C20H12O4","-H","C20H12O4-H-",315.066282429,0.0104444465,0.01237832448273,0.848388868284515,0.994554568238779,0.5,"off",0.999994397163391
"ChEBI","C12H17N5O4","-H","C12H17N5O4-H-",294.120777589,0.01040625,0.0106920967875891,0.974835437754631,0.998389694041868,0.5,"off",0.99984335899353
"ChEBI","C23H26O6","-H","C23H26O6-H-",397.165662117,0.010384116,0.0112462589957806,0.924871511368835,0.998343685300207,0.5,"off",0.999903678894043
"ChEBI","C20H16","-H","C20H16-H-",255.117924077,0.010380857,0.0111484104354995,0.936087504549806,0.994726712856043,0.5,"off",0.999988198280334
"ChEBI","C16H19N3O5S","-H","C16H19N3O5S-H-",364.097265443,0.010365123,0.0114334771109735,0.922013943094798,0.98323796524752,0.5,"off",0.999911904335022
"ChEBI","C10H11NO4","-H","C10H11NO4-H-",208.061531397,0.010292667,0.012521917174981,0.836394404452154,0.9827565913371,0.5,"off",0.999999403953552
"ChEBI","C11H11NO2","-H","C11H11NO2-H-",188.071702157,0.010249552,0.0108133280957468,0.966237287923242,0.980983511295126,0.5,"off",1
"ChEBI","C14H22N4O4S","-H","C14H22N4O4S-H-",341.128899919,0.010201661,0.0109380074035465,0.948930790208982,0.982874617737003,0.5,"off",0.999998569488525
"ChEBI","C5H6N2O4","-H","C5H6N2O4-H-",157.025480237,0.010166845,0.015193017308389,0.673863070084612,0.993048644061258,0.5,"on",0.0011459231609478
"ChEBI","C14H14O2S","+Cl","C14H14O2S+Cl-",281.040852155,0.010107193,0.0118039046866088,0.859693088405742,0.996004770423375,0.5,"off",0.999985456466675
"ChEBI","C6H4N2O","-H","C6H4N2O-H-",119.025086313,0.010072311,0.0209021388957829,0.485020654970774,0.993523550724638,0.5,"off",0.99999988079071
"ChEBI","C23H24O4","-H","C23H24O4-H-",363.160182813,0.010046096,0.011107401767855,0.924696915846442,0.978104818678589,0.5,"off",0.999985575675964
"ChEBI","C25H34O6","-H","C25H34O6-H-",429.228262373,0.010020128,0.0113821897169147,0.915949880496142,0.961115849324805,0.5,"off",0.999989151954651
